10	1	51	11	-16
11	1	59	22	-4
10	1	61	19	-6
11	2	64	22	-38
15	1	83	12	-4
15	1	85	17	-12
15	1	91	14	12
15	1	85	16	8
15	1	81	19	38
11	0	62	21	14
11	1	55	23	14
11	1	48	25	16
6	2	36	40	4
6	2	32	38	12
6	1	32	28	6
5	1	29	20	8
1	1	18	25	16
0	1	14	17	-30
1	1	13	32	-34
2	2	12	49	-28
2	2	17	63	-10
2	2	14	68	-6
3	2	19	71	-6
8	2	22	74	-14
8	2	23	81	30
2	0	19	66	20
2	2	17	56	32
6	1	37	40	-26
7	2	31	53	-12
2	2	19	59	26
7	2	25	46	14
6	2	26	39	4
6	2	33	37	-4
6	2	39	29	-30
10	1	54	20	-10
10	2	59	17	-18
11	1	68	22	-26
15	1	81	15	-2
15	0	82	14	-14
15	1	89	14	-8
15	2	93	20	-8
15	1	97	20	-10
20	1	102	11	12
15	1	96	13	26
15	1	83	15	30
11	1	68	24	30
10	1	53	18	18
11	1	44	21	-14
11	1	51	30	8
11	1	47	36	12
7	2	33	41	-10
7	2	29	46	-6
7	2	34	49	-8
7	2	32	53	-4
7	2	30	55	12
7	2	27	49	-14
7	2	23	56	18
7	2	23	47	28
6	2	31	33	-12
6	2	39	30	-34
11	1	56	24	-8
10	1	60	17	-6
10	1	63	20	28
10	1	49	19	-8
10	1	53	20	22
11	1	42	22	16
6	1	34	33	22
6	1	23	23	-12
1	1	17	29	-10
1	2	20	34	-6
6	2	21	37	8
1	2	20	33	4
1	2	13	31	6
1	2	19	28	8
5	2	24	18	-16
6	1	32	21	12
5	1	26	18	-6
6	0	23	29	12
1	2	20	23	-6
6	2	25	26	-10
5	1	31	15	-8
5	1	35	18	6
5	1	32	18	16
5	1	24	18	-18
6	1	22	33	14
1	2	19	26	-28
1	2	18	40	0
6	2	25	40	-10
2	1	20	45	-6
7	2	24	48	14
7	2	25	41	18
6	2	21	32	-4
6	2	34	25	-10
6	1	39	24	18
6	1	30	23	12
6	1	24	23	-8
5	1	28	20	-4
1	1	19	30	14
6	1	22	23	-12
6	2	23	29	-8
6	2	21	33	14
1	2	18	26	4
1	2	18	24	6
1	2	17	21	-6
6	2	24	21	2
5	1	23	18	-22
5	1	34	14	4
5	1	32	17	-6
6	1	35	21	6
5	1	32	16	6
6	2	21	29	6
1	2	17	26	0
6	1	26	24	-4
5	1	28	20	2
1	2	20	27	-6
1	0	14	30	8
1	2	17	26	6
1	2	18	23	6
0	2	20	20	-8
5	2	24	20	4
5	1	22	20	-10
5	1	27	14	-16
5	1	35	20	18
6	2	22	26	-4
1	2	16	28	10
5	1	23	17	-4
5	1	25	17	-4
5	1	27	18	10
6	2	21	22	-6
1	1	20	25	-4
1	2	13	27	20
0	2	12	17	-22
5	2	28	17	-16
5	1	36	15	10
5	1	31	11	8
6	1	27	26	6
6	2	24	24	2
1	2	18	23	-6
5	2	26	17	-2
5	1	27	13	-6
6	1	30	22	2
6	2	29	29	4
6	2	26	27	-6
5	2	30	19	6
5	1	27	17	2
5	1	26	19	8
5	1	22	17	-16
6	1	30	26	16
6	2	22	22	-6
6	2	25	23	-6
1	2	18	28	8
6	2	23	24	-6
6	2	27	21	-8
5	1	31	16	-34
10	1	48	15	-12
10	1	54	16	8
10	1	50	12	18
11	1	41	25	18
6	1	32	21	8
6	1	28	27	14
5	1	21	18	-10
1	1	17	26	-12
1	2	12	32	-28
2	2	14	46	-6
2	2	18	49	-8
2	2	16	53	22
7	1	25	42	-10
2	2	18	47	-10
2	2	20	52	4
2	2	19	50	0
2	2	16	50	28
6	1	33	36	-8
6	1	40	27	0
6	1	40	24	6
6	2	30	37	4
6	1	35	34	10
6	1	30	26	-2
6	2	21	31	-2
1	2	15	32	-8
1	2	18	36	14
6	2	21	29	18
0	2	14	20	-22
5	2	31	19	-10
5	1	36	14	-16
10	1	44	16	14
5	1	37	15	16
5	1	29	19	16
1	1	18	21	-6
6	1	24	22	-16
1	2	17	32	22
1	2	19	21	-22
6	2	22	32	16
6	1	21	24	-2
1	2	19	25	-12
1	2	17	31	6
6	2	22	28	4
6	2	21	26	-8
5	1	30	18	-10
6	1	35	21	20
5	1	25	17	-4
6	1	27	25	14
0	1	20	20	-4
1	0	18	22	-10
1	2	18	27	-2
6	1	28	26	6
6	1	23	25	6
1	1	15	22	-6
1	2	18	25	-4
1	1	20	27	-14
1	2	12	34	-14
2	2	20	41	2
6	1	22	40	8
6	2	21	36	10
6	2	26	31	12
1	2	18	25	-6
6	2	26	28	-10
5	1	33	14	8
5	1	29	17	-20
6	1	39	21	38
0	2	19	20	-16
1	1	16	28	-8
1	2	17	32	12
1	2	18	26	6
6	2	21	23	0
1	2	18	23	-4
6	2	25	22	-2
5	1	26	12	-32
10	2	42	15	-20
10	1	52	12	-14
10	1	59	12	-2
10	1	60	16	-8
10	1	64	14	24
11	2	52	27	2
11	1	51	24	16
10	0	43	18	26
6	1	30	25	6
6	1	24	27	0
1	2	10	27	16
0	1	19	19	0
0	0	15	19	-20
1	2	15	29	-2
6	1	23	30	-12
6	2	25	36	0
1	2	14	36	6
6	2	21	33	8
6	1	29	28	2
6	2	23	28	8
6	2	24	24	-12
5	2	30	16	-10
5	0	35	14	-6
5	1	38	20	-4
5	1	40	15	4
6	1	38	23	14
5	1	31	17	4
6	1	29	24	-12
6	1	35	31	16
6	2	26	27	-6
1	2	13	30	-4
6	2	21	32	4
6	2	26	30	-4
5	1	32	20	24
0	2	20	18	-8
5	1	24	18	-4
5	1	26	18	2
6	1	24	25	-22
1	2	18	36	-4
6	2	23	38	8
6	2	22	34	10
6	2	29	29	16
5	2	21	20	-12
5	0	27	19	0
5	1	27	20	-16
5	1	35	16	0
5	1	35	13	4
6	1	33	28	-4
6	2	23	35	10
6	2	23	30	-2
6	2	27	31	-22
11	1	42	29	8
6	1	38	32	12
6	2	24	32	0
6	1	22	32	14
6	1	25	24	-16
6	0	23	33	8
1	2	20	29	0
6	2	25	29	6
1	2	19	26	14
0	2	19	16	-12
5	2	25	19	-22
5	1	36	13	-20
10	1	46	15	10
10	2	41	20	12
6	0	35	25	2
5	1	34	18	4
6	1	32	22	-4
6	1	34	26	14
6	1	27	22	-10
6	0	32	29	4
6	2	27	30	10
1	2	15	25	4
6	1	22	23	-14
1	2	17	30	6
6	0	24	27	4
5	1	25	15	2
6	2	23	24	2
6	2	21	23	0
6	2	21	23	4
5	2	21	19	-12
5	2	27	18	-40
10	1	47	14	-6
